,OBJECTID,Shape,NAME,GRADE,TYPE,ADDRESS,CITY,ZIP,phone,WEBSITE,SCHOOL,Latitude,Longitude,school.search.name,schoolid,schoolName,url,urlCompare,lowGrade,highGrade,schoolLevel,isCharterSchool,isMagnetSchool,isVirtualSchool,isTitleISchool,isTitleISchoolwideSchool,rankMovement,locationIsWithinBoundary,isPrivate,privateDays,privateHours,privateHasLibrary,privateCoed,privateOrientation,hasBoundary,year,numberOfStudents,PercentFreeDiscLunch,PercentOfAfricanAmericanStudents,percentofAsianStudents,percentofHispanicStudents,percentofIndianStudents,percentofPacificIslanderStudents,PercentOfWhiteStudents,percentofTwoOrMoreRaceStudents,percentofUnspecifiedRaceStudents,teachersFulltime,PupilTeacherRatio,numberofAfricanAmericanStudents,numberofAsianStudents,numberofHispanicStudents,numberofIndianStudents,numberofPacificIslanderStudents,numberofWhiteStudents,numberofTwoOrMoreRaceStudents,numberofUnspecifiedRaceStudents,rankLevel,RankStatewidePercentage,averageStandardScore
1,1,"47.70994486300003, -122.29300902499995",Jane Addams,8-Jun,Middle School,11051 34th Ave. NE,Seattle,98125,(206) 252-4500,http://addamsms.seattleschools.org/,Jane Addams,47.70994486,-122.293009,Jane+Addams,5.31E+11,Jane Addams Middle School,https://www.schooldigger.com/go/WA/schools/0771003467/school.aspx,https://www.schooldigger.com/go/WA/schools/0771003467/search.aspx,6,8,Middle,No,(n/a),No,Yes,Yes,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,2015,728,0.28,12.5,14.84,11.26,0.96,0.41,50.69,9.34,NA,36,20.2,91,108,82,7,3,369,68,NA,NA,NA,NA
2,2,"47.713430232000064, -122.31465833899995",Hazel Wolf K-8,K - 8,Option Elementary,11530 12th Ave. NE,Seattle,98125,,http://hazelwolfk8.seattleschools.org/,Pinehurst ,47.71343023,-122.3146583,Hazel+Wolf,5.31E+11,Hazel Wolf K-8,https://www.schooldigger.com/go/WA/schools/0771003271/school.aspx,https://www.schooldigger.com/go/WA/schools/0771003271/search.aspx,K,8,Elementary,No,(n/a),No,No,(n/a),194,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,713,0.24,9.54,6.87,12.06,1.4,0.7,61.57,7.85,NA,47,15.1,68,49,86,10,5,439,56,NA,Elementary,86.89,85.16367
3,3,"47.498863322000034, -122.26317206499999",Rainier View,K - 5,Elementary,11650 Beacon Ave. S,Seattle,98178,(206) 252-6700,http://rainierviewes.seattleschools.org/,Rainier View,47.49886332,-122.2631721,Rainier+View,5.31E+11,Rainier View Elementary School,https://www.schooldigger.com/go/WA/schools/0771003361/school.aspx,https://www.schooldigger.com/go/WA/schools/0771003361/search.aspx,PK,5,Elementary,No,(n/a),No,Yes,Yes,-234,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,194,0.65,35.05,27.32,16.49,1.03,1.03,7.22,11.86,NA,14,13.8,68,53,32,2,2,14,23,NA,Elementary,65.53,65.34
4,4,"47.50970036100006, -122.37758781299999",Arbor Heights,K - 5,Elementary,3701 SW 104th St.,Seattle,98146,(206)252-9250,http://arborheightses.seattleschools.org/,Arbor Heights,47.50970036,-122.3775878,Arbor+Heights,5.31E+11,Arbor Heights Elementary School,https://www.schooldigger.com/go/WA/schools/0771001135/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001135/search.aspx,K,5,Elementary,No,(n/a),No,Yes,No,-86,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,360,0.31,11.11,5.28,12.22,0.83,0.56,57.78,12.22,NA,27,13.3,40,19,44,3,2,208,44,NA,Elementary,44.92,46.41957
5,5,"47.51482046700005, -122.25863614599996",Emerson,K - 5,Elementary,9709 60th Ave. S,Seattle,98118,(206) 252-7100,http://emersones.seattleschools.org/,Emerson,47.51482047,-122.2586361,Emerson,5.31E+11,Emerson Elementary School,https://www.schooldigger.com/go/WA/schools/0771001163/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001163/search.aspx,K,5,Elementary,No,(n/a),No,Yes,Yes,68,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,277,0.61,44.04,25.27,11.91,0.36,0.72,7.22,10.47,NA,25,11,122,70,33,1,2,20,29,NA,Elementary,8.17,12.10514
6,6,"47.518052917000034, -122.37055804399995",Roxhill,K - 5,Elementary,9430 30th Ave. SW,Seattle,98126,(206) 252-9570,http://roxhilles.seattleschools.org/,Roxhill,47.51805292,-122.370558,Roxhill,5.31E+11,Roxhill Elementary School,https://www.schooldigger.com/go/WA/schools/0771001240/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001240/search.aspx,PK,5,Elementary,No,(n/a),No,Yes,Yes,111,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,372,0.71,26.34,12.63,38.98,1.08,1.08,12.63,7.26,NA,34,10.9,98,47,145,4,4,47,27,NA,Elementary,15.76,19.437
7,7,"47.52374294900005, -122.27200912199999",South Shore K-8,K - 8,Option Elementary,4800 S Henderson St,Seattle,98118,(206) 252-7600,http://southshorek8.seattleschools.org/,South Shore,47.52374295,-122.2720091,South+Shore,5.31E+11,South Shore K-8 School,https://www.schooldigger.com/go/WA/schools/0771002933/school.aspx,https://www.schooldigger.com/go/WA/schools/0771002933/search.aspx,PK,8,Elementary,No,(n/a),No,Yes,Yes,-71,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,642,0.62,43.3,25.7,9.81,1.25,0,10.75,9.19,NA,49,13.1,278,165,63,8,0,69,59,NA,Elementary,19.75,23.88278
8,9,"47.52407076500003, -122.26585898299999",Rainier Beach,12-Sep,High School,8815 Seward Park Ave S,Seattle,98118,(206) 252-6350,http://rainierbeachhs.seattleschools.org,Rainier Beach,47.52407077,-122.265859,Rainier+Beach,5.31E+11,Rainier Beach High School,https://www.schooldigger.com/go/WA/schools/0771001236/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001236/search.aspx,9,12,High,No,(n/a),No,Yes,Yes,-17,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,598,0.72,51.67,24.92,12.88,0.84,2.68,3.01,4.01,NA,35,17,309,149,77,5,16,18,24,NA,High,10.46,17.4285
9,10,"47.523610903000076, -122.32469058399994",Concord Int'l,K - 5,Elementary,723 S Concord St.,Seattle,98108,(206) 252-8100,http://concordes.seattleschools.org/,Concord Int'l,47.5236109,-122.3246906,Concord,5.31E+11,Concord International School,https://www.schooldigger.com/go/WA/schools/0771001154/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001154/search.aspx,PK,5,Elementary,No,(n/a),No,Yes,Yes,-148,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,410,0.74,11.22,9.02,62.93,1.46,0.98,10.98,3.41,NA,36,11.3,46,37,258,6,4,45,14,NA,Elementary,8.36,12.28329
10,11,"47.52498919000004, -122.27465565499995",Dunlap,K - 5,Elementary,4525 S Cloverdale St.,Seattle,98118,(206) 252-7000,http://dunlapes.seattleschools.org/,Dunlap,47.52498919,-122.2746557,Dunlap,5.31E+11,Dunlap Elementary School,https://www.schooldigger.com/go/WA/schools/0771001161/school.aspx,https://www.schooldigger.com/go/WA/schools/0771001161/search.aspx,PK,5,Elementary,No,(n/a),No,Yes,Yes,103,NA,FALSE,NA,NA,NA,NA,NA,TRUE,2015,408,0.64,47.55,23.04,21.08,0.49,0.98,2.7,4.17,NA,30,13.6,194,94,86,2,4,11,17,NA,Elementary,22.51,26.32086
